python trading_bot.py
2026-07-08 09:49:16,886 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 09:49:16,887 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 09:50:19,409 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 09:50:19,410 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 09:51:22,073 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 09:51:22,074 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 09:52:24,498 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 09:52:24,499 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 09:53:26,860 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 09:53:26,861 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 09:54:29,227 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 09:54:29,227 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 09:55:32,286 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 09:55:32,287 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 09:56:34,795 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 09:56:34,796 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 09:57:37,702 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 09:57:37,703 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 09:58:40,109 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 09:58:40,110 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 09:59:42,863 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 09:59:42,865 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:00:45,463 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:00:45,464 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:01:48,063 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:01:48,064 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:02:51,112 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:02:51,112 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:03:54,055 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:03:54,057 | WARNING | No data for TATAMOTORS — skipping
